Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
65,97 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",330,27 inches,VCore Pro 97 330g,"Fast, Long Swing",10 Pts Head Light,Low
64,105 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",309,27 inches,VCore SV 105,"Medium, Moderate Swing",1 Pt Head Light,Medium
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,VCore SV 100 Lite,"Fast, Long Swing",4 Pts Head Light,Medium
69,100 sq. in MP,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",292,26.5 inches,VCore SV 100S,"Fast, Long Swing",2 Pts Head Light,Medium
61,100 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7H, 8H, 8T
					",308,27 inches,VCore Duel G 100,"Fast, Long Swing",7 Pts Head Light,Low
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",321,27 inches,VCore SV 100,"Fast, Long Swing",7 Pts Head Light,Low
70,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",341,27.5 inches,Vcore SV 100 Plus,"Fast, Long Swing",6 Pts Head Light,Medium
63,97 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: None, Two Piece, Shared Holes: 7H, 8H, 8T
					",307,27 inches,VCore Duel G 97 Lite,"Fast, Long Swing",10 Pts Head Light,Low
66,98 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",323,27 inches,VCore SV Team,"Medium, Moderate Swing",3 Pts Head Light,Medium
63,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",317,27 inches,VCore SV 98 Lite,"Fast, Long Swing",6 Pts Head Light,Medium
72,105 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",306,27 inches,Astrel 105,"Slow, Compact Swing",4 Pts Head Light,Medium
67,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",322,27.5 inches,Vcore SV 98 Plus,"Fast, Long Swing",6 Pts Head Light,Medium
65,108 sq. in OS,"
					16 Mains / 18 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",287,27.25 inches,EZONE DR 108,"Slow, Compact Swing",4 Pts Head Light,High
69,115 sq. in OS,"
					16 Mains / 17 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",311,27.25 inches,Astrel 115,"Slow, Compact Swing",1 Pt Head Heavy,Medium
63,95 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",327,27 inches,VCore SV 95,"Fast, Long Swing",10 Pts Head Light,Low
65,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",320,27 inches,VCore SV 98,"Fast, Long Swing",9 Pts Head Light,Low
