Flex,Head_Size,String_Pattern,Swingweight,Length,Racket_Name,Swing_speed,Balance,Power_Level
68,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",323,27 inches,2018 Pure Drive,"Fast, Long Swing",7 Pts Head Light,Medium
70,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 10T, 7H, 10H, Two Piece, No Shared Holes
					",320,27 inches,2018 Pure Drive Tour,"Fast, Long Swing",9 Pts Head Light,Low
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",316,27 inches,Pure Aero Decima French Open,"Fast, Long Swing",7 Pts Head Light,Low
69,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",320,27.5 inches,2018 Pure Drive Plus,"Medium, Moderate Swing",9 Pts Head Light,Medium
66,107 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,27.2 inches,2018 Pure Drive 107,"Medium, Moderate Swing",8 Pts Head Light,Medium
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",321,27 inches,2018 Pure Drive Team,"Medium, Moderate Swing",7 Pts Head Light,Medium
69,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 10T, 7H, 10H, Two Piece, No Shared Holes
					",321,27.5 inches,2018 Pure Drive Tour Plus,"Fast, Long Swing",11 Pts Head Light,Low
67,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",300,27 inches,2018 Pure Drive Lite,"Medium, Moderate Swing",4 Pts Head Light,Medium
66,112 sq. in OS,"
					16 Mains / 19 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",328,27.5 inches,Aero 112 Prestrung,"Slow, Compact Swing",2 Pts Head Light,High
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",316,27 inches,Pure Aero Play,"Fast, Long Swing",7 Pts Head Light,Low
66,100 sq. in MP,"
					16 Mains / 19 Crosses, Mains Skip: 7T, 9T, 7H, 9H, Two Piece, No Shared Holes
					",316,27 inches,Pure Aero Stars and Stripes,"Fast, Long Swing",7 Pts Head Light,Low
67,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 9T, 9H, Two Piece, No Shared Holes
					",312,27 inches,Pure Aero VS Stars and Stripes,"Fast, Long Swing",7 Pts Head Light,Low
66,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",333,27 inches,Pure Aero VS Tour,"Fast, Long Swing",10 Pts Head Light,Low
65,98 sq. in MP,"
					16 Mains / 20 Crosses, Mains Skip: 8T, 8H, Two Piece, No Shared Holes
					",318,27 inches,Pure Aero VS,"Fast, Long Swing",7 Pts Head Light,Low
